City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Zheleznogorsk-Ilimskiy,RU,2022-01-25 02:21:01,56.5768,104.1217,-3.95,99,100,3.06
211,Mandalgovi,MN,2022-01-25 02:21:01,45.7625,106.2708,1.96,83,6,9.44
212,Labuhan,ID,2022-01-25 02:21:01,-6.8844,112.2051,83.68,76,88,12.88
213,Pevek,RU,2022-01-25 02:21:02,69.7008,170.3133,-16.33,98,100,6.85
214,Niltepec,MX,2022-01-25 02:21:02,16.5667,-94.6167,73.11,76,0,4.21
215,Tezu,IN,2022-01-25 02:21:02,27.9167,96.1667,58.66,64,100,0.63
216,Ancud,CL,2022-01-25 02:16:39,-41.8697,-73.8203,57.42,89,29,4.21
217,Oneida,US,2022-01-25 02:18:27,43.2001,-75.4663,22.19,89,100,1.99
218,Maputo,MZ,2022-01-25 02:21:03,-25.9653,32.5892,73.22,87,40,1.01
219,Tucumcari,US,2022-01-25 02:21:03,35.1717,-103.725,41.94,33,0,6.91
220,Constitucion,CL,2022-01-25 02:21:04,-35.3333,-72.4167,57.45,88,1,12.84
221,Cavalcante,BR,2022-01-25 02:21:04,-13.7975,-47.4583,68.67,84,1,2.3
222,Dongying,CN,2022-01-25 02:20:02,37.4564,118.4856,32.88,46,14,3.33
223,Kruisfontein,ZA,2022-01-25 02:21:04,-34.0033,24.7314,66.88,81,7,8.68
224,Bredasdorp,ZA,2022-01-25 02:21:05,-34.5322,20.0403,68.29,83,91,4.61
225,De Aar,ZA,2022-01-25 02:21:05,-30.6497,24.0123,71.98,42,0,0.98
226,Gornopravdinsk,RU,2022-01-25 02:21:05,60.05,69.9,7.7,99,92,3.94
227,Terra Santa,BR,2022-01-25 02:21:06,-2.1042,-56.4869,73.72,97,100,3.04
228,Ostrovnoy,RU,2022-01-25 02:21:06,68.0531,39.5131,20.44,89,6,12.5
229,Kutum,SD,2022-01-25 02:21:06,14.2,24.6667,55.02,23,3,6.44
230,Sechura,PE,2022-01-25 02:21:06,-5.5569,-80.8222,72.77,77,99,13.02
231,Bojnurd,IR,2022-01-25 02:21:07,37.4747,57.329,19.35,73,0,0.0
