City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Sterling,US,40.33,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
191,Faanui,PF,80.46,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
192,Cidreira,BR,78.28,scattered clouds,-30.1811,-50.2056,Hotel Castelo
193,Ribeira Grande,PT,59.74,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
194,Requena,ES,42.13,broken clouds,39.4883,-1.1004,Hotel Avenida
195,Puerto Maldonado,PE,90.0,few clouds,-12.6,-69.1833,Wasai Hotel
196,Waingapu,ID,78.1,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
197,Urumqi,CN,4.15,mist,43.801,87.6005,Hua Ling Grand Hotel Urumqi
198,Bull Savanna,JM,77.25,few clouds,17.8868,-77.5902,Big Red's
199,Anshun,CN,48.25,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
200,Vincennes,FR,34.09,mist,48.85,2.4333,Aparthotel Adagio Paris Vincennes
202,Shimoda,JP,40.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
203,Murdochville,CA,9.48,overcast clouds,48.9583,-65.5006,Les Suites économique Murdochville
204,Salalah,OM,66.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
205,Merchtem,BE,37.76,mist,50.9572,4.2303,Green Cottage
206,Tuatapere,NZ,52.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
207,Juegang,CN,42.91,broken clouds,32.3174,121.1855,Rudong Y Hotel
209,Greiz,DE,36.16,overcast clouds,50.65,12.2,Schlossberghotel Greiz
210,Helong,CN,9.91,few clouds,42.5397,128.9972,Helong Hotel
212,Manokwari,ID,80.33,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
215,Shenjiamen,CN,46.26,moderate rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
216,Maxixe,MZ,77.18,overcast clouds,-23.8597,35.3472,Oceano
217,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
218,Sao Domingos,BR,69.35,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
220,Palkonda,IN,68.23,few clouds,18.6,83.75,CHINNA RAO SHOPPING COMPLEX
221,Phalombe,MW,66.47,broken clouds,-15.8064,35.6507,RIVONIA
224,Gorlice,PL,36.21,light snow,49.6556,21.1604,Motelik Grosar
225,Saint-Francois,FR,27.68,mist,46.4154,3.9054,Manoir Du Bonheur
226,Kiknur,RU,6.12,overcast clouds,57.3034,47.2011,Gostinitsa
227,Broome,US,25.02,overcast clouds,42.2506,-75.833,Chenango Valley State Park
228,Sao Joao Da Barra,BR,76.57,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
229,Salinopolis,BR,77.97,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
232,Shalinskoye,RU,7.36,overcast clouds,55.7228,93.7594,Belaya Sova
233,Tanete,ID,75.31,broken clouds,-3.9443,119.7848,Wisma Tri Multi
234,Maniitsoq,GL,19.06,snow,65.4167,-52.9,Hotel Heilmann Lyberth
236,Panaba,MX,83.59,broken clouds,21.2833,-88.2667,Hotel California
237,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
238,Makokou,GA,73.29,overcast clouds,0.5738,12.8642,Motel des voyageurs
239,Kruisfontein,ZA,67.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
240,Plerin,FR,38.19,overcast clouds,48.5425,-2.7798,Hotel Ker Izel
241,Sigli,ID,77.18,broken clouds,5.3848,95.9609,Losmen Dua Mali
242,Svetlyy,RU,35.96,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
243,Half Moon Bay,US,67.78,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
244,Bethel,US,37.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
245,Todos Santos,MX,76.1,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
246,Port Elizabeth,ZA,70.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
247,Igrim,RU,14.23,overcast clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
248,Sur,OM,69.42,few clouds,22.5667,59.5289,Sur Plaza Hotel
249,Mwinilunga,ZM,64.22,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
251,Viedma,AR,74.53,clear sky,-40.8135,-62.9967,Hotel Cristal
252,Tual,ID,83.98,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
254,North Bend,US,64.31,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
255,Jose Bonifacio,BR,87.06,overcast clouds,-21.0528,-49.6883,HOTEL DOS VIAJANTES
256,Laramie,US,22.55,broken clouds,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
258,La Maddalena,IT,37.45,scattered clouds,41.2142,9.4083,Hotel Il Gabbiano
259,Marana,US,71.94,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
261,Mancio Lima,BR,80.67,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
262,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,Karratha,AU,81.37,clear sky,-20.7377,116.8463,ibis Styles Karratha
265,Chuy,UY,78.31,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
268,Rivera,UY,73.8,light rain,-30.9053,-55.5508,Hotel Casino & Resort Rivera
269,Kumano,JP,38.35,broken clouds,34.3442,132.5894,ホテル コラソン
271,Sakakah,SA,45.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
272,Barra Do Garcas,BR,78.48,scattered clouds,-15.89,-52.2567,Hotel Pousada Tropical
273,San Policarpo,PH,77.94,overcast clouds,12.1791,125.5072,Agapita M. Nicart
276,Ardon,RU,32.13,scattered clouds,43.17,44.29,Blossom
277,Katsuura,JP,42.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
278,La Paz,BO,57.18,broken clouds,-16.5,-68.15,Hotel Sagarnaga
