City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Kenora,CA,49.8167,-94.4337,-8.23,70,0,5.75,clear sky
185,Port Hawkesbury,CA,45.6169,-61.3485,35.19,95,100,5.01,light snow
186,Hermanus,ZA,-34.4187,19.2345,63.81,76,85,13.96,overcast clouds
187,Tawang,IN,27.5833,91.8667,24.24,86,67,3.78,broken clouds
188,Hongjiang,CN,27.11,109.9956,40.39,96,100,3.51,overcast clouds
189,Lebu,CL,-37.6167,-73.65,61.9,76,0,15.88,clear sky
190,Sterling,US,39.0062,-77.4286,40.33,63,75,1.99,broken clouds
191,Faanui,PF,-16.4833,-151.75,80.46,79,100,14.85,light rain
192,Cidreira,BR,-30.1811,-50.2056,78.28,82,45,17.4,scattered clouds
193,Ribeira Grande,PT,38.5167,-28.7,59.74,74,99,5.08,overcast clouds
194,Requena,ES,39.4883,-1.1004,42.13,86,59,7.05,broken clouds
195,Puerto Maldonado,PE,-12.6,-69.1833,90.0,55,20,3.44,few clouds
196,Waingapu,ID,-9.6567,120.2641,78.1,86,95,9.93,overcast clouds
197,Urumqi,CN,43.801,87.6005,4.15,85,75,2.24,mist
198,Bull Savanna,JM,17.8868,-77.5902,77.25,73,18,11.52,few clouds
199,Anshun,CN,26.25,105.9333,48.25,96,100,10.09,overcast clouds
200,Vincennes,FR,48.85,2.4333,34.09,96,100,1.99,mist
201,Krasnyy Chikoy,RU,50.3643,108.7512,-4.23,100,100,1.77,overcast clouds
202,Shimoda,JP,34.6667,138.95,40.1,83,78,7.43,broken clouds
203,Murdochville,CA,48.9583,-65.5006,9.48,97,100,2.93,overcast clouds
204,Salalah,OM,17.0151,54.0924,66.29,34,0,3.44,clear sky
205,Merchtem,BE,50.9572,4.2303,37.76,90,75,1.99,mist
206,Tuatapere,NZ,-46.1333,167.6833,52.83,92,100,8.72,overcast clouds
207,Juegang,CN,32.3174,121.1855,42.91,77,70,9.22,broken clouds
208,Diapaga,BF,12.0708,1.7889,70.32,12,0,7.81,clear sky
209,Greiz,DE,50.65,12.2,36.16,91,100,2.44,overcast clouds
210,Helong,CN,42.5397,128.9972,9.91,93,13,4.92,few clouds
211,Tabory,RU,58.5198,64.5495,6.64,95,55,4.9,broken clouds
212,Manokwari,ID,-0.8667,134.0833,80.33,78,100,2.26,overcast clouds
213,Airai,TL,-8.9266,125.4092,60.94,86,90,2.44,overcast clouds
214,Lavrentiya,RU,65.5833,-171.0,-21.55,87,74,5.41,broken clouds
215,Shenjiamen,CN,29.9576,122.298,46.26,87,100,9.48,moderate rain
216,Maxixe,MZ,-23.8597,35.3472,77.18,93,95,7.61,overcast clouds
217,Coahuayana,MX,18.7333,-103.6833,87.28,43,0,6.82,clear sky
218,Sao Domingos,BR,-13.3983,-46.3183,69.35,90,95,3.47,overcast clouds
219,Okakarara,NA,-20.5833,17.4333,75.22,43,87,6.24,overcast clouds
220,Palkonda,IN,18.6,83.75,68.23,86,21,3.13,few clouds
221,Phalombe,MW,-15.8064,35.6507,66.47,94,78,1.61,broken clouds
222,Nome,US,64.5011,-165.4064,-5.73,92,40,4.61,scattered clouds
